Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-10-24,The Wild Robot,2024,https://boxd.it/7CRtrT,4.5,,,2024-10-23
2024-10-28,Meiyazhagan,2024,https://boxd.it/7ENDhz,5,,,2024-10-27
2024-10-28,Uzumaki,2024,https://boxd.it/7EODGV,3.5,,,2024-10-27
2024-10-29,Transformers One,2024,https://boxd.it/7FNzx3,4.5,,,2024-10-29
2024-11-03,How to Make Millions Before Grandma Dies,2024,https://boxd.it/7I3wkP,5,,,2024-11-02
2024-11-04,Rudraveena,1988,https://boxd.it/7IFDKh,5,,,2024-11-03
2024-11-06,Lubber Pandhu,2024,https://boxd.it/7JLPbf,4.5,,,2024-11-05
2024-11-07,Like Stars on Earth,2007,https://boxd.it/7KtLLV,5,,,2024-11-07
2024-11-09,Boyhood,2014,https://boxd.it/7L0Th1,3.5,,,2024-11-08
2024-11-10,The Skin I Live In,2011,https://boxd.it/7LwnKf,5,,,2024-11-09
2024-11-10,The Killing of a Sacred Deer,2017,https://boxd.it/7LZ9zP,4,,,2024-11-10
2024-11-13,The Penguin,2024,https://boxd.it/7NeDVP,4.5,,,2024-11-12
2024-11-14,The Hunt,2012,https://boxd.it/7NEqgr,5,,,2024-11-13
2024-11-14,Gladiator,2000,https://boxd.it/7O1vB1,5,,,2024-11-14
2024-11-14,Kingdom of Heaven,2005,https://boxd.it/7O1zJN,5,,,2024-11-14
2024-11-21,Nocturnal Animals,2016,https://boxd.it/7Rc3Pt,5,,,2024-11-20
2024-11-22,Megalopolis,2024,https://boxd.it/7RCxlb,4,,,2024-11-21
